id,state,country
1,Alberta,canada
2,Columbia Británica,canada
3,Manitoba,canada
4,Nuevo Brunswick,canada
5,Terranova y Labrador,canada
6,Nueva Escocia,canada
7,Nunavut,canada
8,Ontario,canada
9,Isla del Príncipe Eduardo,canada
10,Quebec,canada
11,Saskatchewan,canada
12,los Territorios del Noroeste,canada
13,Yukón,canada
14,Alabama,usa
15,Alaska,usa
16,Arizona,usa
17,Arkansas,usa
18,California,usa
19,Carolina del Norte,usa
20,Carolina del Sur,usa
21,Colorado,usa
22,Connecticut,usa
23,Dakota del Norte,usa
24,Dakota del Sur,usa
25,Delaware,usa
26,Florida,usa
27,Georgia,usa
28,Hawái,usa
29,Idaho,usa
30,Illinois,usa
31,Indiana,usa
32,Iowa,usa
33,Kansas,usa
34,Kentucky,usa
35,Luisiana,usa
36,Maine,usa
37,Maryland,usa
38,Massachusetts,usa
39,Míchigan,usa
40,Minnesota,usa
41,Misisipi,usa
42,Misuri,usa
43,Montana,usa
44,Nebraska,usa
45,Nevada,usa
46,Nueva Jersey,usa
47,Nueva York,usa
48,Nuevo Hampshire,usa
49,Nuevo México,usa
50,Ohio,usa
51,Oklahoma,usa
52,Oregón,usa
53,Pensilvania,usa
54,Rhode Island,usa
55,Tennessee,usa
56,Texas,usa
57,Utah,usa
58,Vermont,usa
59,Virginia,usa
60,Virginia Occidental,usa
61,Washington,usa
62,Wisconsin,usa
63,Wyoming,usa
64,Aguascalientes,mexico
65,Baja California,mexico
66,Baja California Sur,mexico
67,Campeche,mexico
68,Chiapas,mexico
69,Chihuahua,mexico
70,Ciudad de México,mexico
71,Coahuila de Zaragoza,mexico
72,Colima,mexico
73,Durango,mexico
74,Guanajuato,mexico
75,Guerrero,mexico
76,Hidalgo,mexico
77,Jalisco,mexico
78,Estado de México,mexico
79,Michoacán de Ocampo,mexico
80,Morelos,mexico
81,Nayarit,mexico
82,Nuevo León,mexico
83,Oaxaca,mexico
84,Puebla,mexico
85,Querétaro,mexico
86,Quintana Roo,mexico
87,San Luis Potosí,mexico
88,Sinaloa,mexico
89,Sonora,mexico
90,Tabasco,mexico
91,Tamaulipas,mexico
92,Tlaxcala,mexico
93,Veracruz de Ignacio de la Llave,mexico
94,Yucatán,mexico
95,Zacatecas,mexico
